state,medical_procedure,year,%meeting_benchmark,50th_percentile_days,90th_percentile_days,total_cases
Nova Scotia,Radiation Therapy,2010,85,12,35,1367
Nova Scotia,Radiation Therapy,2011,83,13,34,1376
Nova Scotia,Radiation Therapy,2012,89,9,29,1396
Nova Scotia,Radiation Therapy,2013,90,10,28,1373
Nova Scotia,Radiation Therapy,2014,88,14,31,1366
Nova Scotia,Radiation Therapy,2015,94,10,25,1439
Nova Scotia,Radiation Therapy,2016,94,11,26,1612
Nova Scotia,Radiation Therapy,2017,92,12,27,1493
Nova Scotia,Radiation Therapy,2018,96,10,25,1434
Nova Scotia,Radiation Therapy,2019,95.83,10,25,1511
Nova Scotia,Radiation Therapy,2020,99,10,21,1518
Nova Scotia,Radiation Therapy,2021,88.5,14,30,1600
Ontario,CABG,2008,100,19,56,3468
Ontario,CABG,2009,100,7,43,3990
Ontario,CABG,2010,100,6,41,3871
Ontario,CABG,2011,100,6,39,3512
Ontario,Cataract Surgery,2008,88,44,123,65616
Ontario,Cataract Surgery,2009,92,43,104,67377
Ontario,Cataract Surgery,2010,88,48,122,65919
Ontario,Cataract Surgery,2011,88,45,121,66663
Ontario,Cataract Surgery,2012,86,46,128,67349
Ontario,Cataract Surgery,2013,81,50,153,65873
Ontario,Cataract Surgery,2014,81,50,157,65160
Ontario,Cataract Surgery,2015,74,62,182,64098
Ontario,Cataract Surgery,2016,70,65,208,66098
Ontario,Cataract Surgery,2017,68.57,67,229,64142
Ontario,Cataract Surgery,2018,70,65,222,68522
Ontario,Cataract Surgery,2019,72.42,63,223,69587
Ontario,Cataract Surgery,2020,39.55,152,303,29199
Ontario,Cataract Surgery,2021,60.41,88,286,52643
Ontario,Hip Fracture Repair,2009,77,26,75,4921
Ontario,Hip Fracture Repair,2010,77,26,73,5009
Ontario,Hip Fracture Repair,2011,78,27,70,4996
Ontario,Hip Fracture Repair,2012,82,25,64,5231
Ontario,Hip Fracture Repair,2013,83,24,64,5498
Ontario,Hip Fracture Repair,2014,84,24,61,5467
Ontario,Hip Fracture Repair,2015,86,23,55,5546
Ontario,Hip Fracture Repair,2016,85,23,57,5639
Ontario,Hip Fracture Repair,2017,85.68,23,56,5306
Ontario,Hip Fracture Repair,2018,87.34,24,52,5610
Ontario,Hip Fracture Repair,2019,85.5,24,56,5601
Ontario,Hip Fracture Repair,2020,84.43,24,59,5381
Ontario,Hip Fracture Repair,2021,84.4,25,57,5739
Ontario,Hip Fracture Repair/Emergency and Inpatient,2009,69,32,46,4221
Ontario,Hip Fracture Repair/Emergency and Inpatient,2010,70,33,79,4467
Ontario,Hip Fracture Repair/Emergency and Inpatient,2011,70,33,75,4423
Ontario,Hip Fracture Repair/Emergency and Inpatient,2012,74,30,69,4683
Ontario,Hip Fracture Repair/Emergency and Inpatient,2013,76,29,70,4975
Ontario,Hip Fracture Repair/Emergency and Inpatient,2014,77,29,66,4948
Ontario,Hip Fracture Repair/Emergency and Inpatient,2015,79,28,60,5066
Ontario,Hip Fracture Repair/Emergency and Inpatient,2016,79,29,63,5104
Ontario,Hip Fracture Repair/Emergency and Inpatient,2017,79.18,28,63,4919
Ontario,Hip Fracture Repair/Emergency and Inpatient,2018,80,29,59,5146
Ontario,Hip Fracture Repair/Emergency and Inpatient,2019,78.28,30,62,5101
Ontario,Hip Fracture Repair/Emergency and Inpatient,2020,77.42,30,66,5061
Ontario,Hip Fracture Repair/Emergency and Inpatient,2021,76.54,30,64,5282
Ontario,Hip Replacement,2008,90,63,180,5348
Ontario,Hip Replacement,2009,93,62,160,5822
Ontario,Hip Replacement,2010,91,65,172,5823
Ontario,Hip Replacement,2011,90,70,186,5919
Ontario,Hip Replacement,2012,89,68,192,6256
Ontario,Hip Replacement,2013,89,70,188,7093
Ontario,Hip Replacement,2014,88,71,202,7323
Ontario,Hip Replacement,2015,87,75,197,7700
Ontario,Hip Replacement,2016,85,80,210,7953
Ontario,Hip Replacement,2017,83.16,82,242,8217
Ontario,Hip Replacement,2018,84,77,230,8723
Ontario,Hip Replacement,2019,84.81,77,234,8823
Ontario,Hip Replacement,2020,63.95,141,321,5281
Ontario,Hip Replacement,2021,75.08,104,302,7212
Ontario,Knee Replacement,2008,85,71,223,9922
Ontario,Knee Replacement,2009,90,67,184,10332
Ontario,Knee Replacement,2010,89,72,190,10250
Ontario,Knee Replacement,2011,85,78,219,10886
Ontario,Knee Replacement,2012,84,76,226,11547
Ontario,Knee Replacement,2013,85,79,216,12499
Ontario,Knee Replacement,2014,86,75,209,12480
Ontario,Knee Replacement,2015,86,80,211,13031
Ontario,Knee Replacement,2016,81,86,241,13880
Ontario,Knee Replacement,2017,78.34,92,275,13801
Ontario,Knee Replacement,2018,79,85,285,15183
Ontario,Knee Replacement,2019,79.86,85,281,15647
Ontario,Knee Replacement,2020,56.46,163,372,7612
Ontario,Knee Replacement,2021,71.14,112,363,10572
Ontario,Radiation Therapy,2008,90,11,29,13177
Ontario,Radiation Therapy,2009,96,7,21,13352
Ontario,Radiation Therapy,2010,97,7,20,13633
Ontario,Radiation Therapy,2011,97,7,18,14738
Ontario,Radiation Therapy,2012,98,7,15,14282
Ontario,Radiation Therapy,2013,98,6,14,15186
Ontario,Radiation Therapy,2014,99,7,14,14917
Ontario,Radiation Therapy,2015,99,7,14,15652
Ontario,Radiation Therapy,2016,99,7,15,15972
Ontario,Radiation Therapy,2017,98.3,8,15,15740
Ontario,Radiation Therapy,2018,98.09,8,16,16949
Ontario,Radiation Therapy,2019,98.21,9,18,17454
Ontario,Radiation Therapy,2020,98,9,16,16121
Ontario,Radiation Therapy,2021,98.08,10,17,17725
Prince Edward Island,Cataract Surgery,2008,60,78,180,477
Prince Edward Island,Cataract Surgery,2009,80,67,163,548
Prince Edward Island,Cataract Surgery,2010,80.4,64,134,465
Prince Edward Island,Cataract Surgery,2011,65.9,86,171,414
Prince Edward Island,Cataract Surgery,2012,63.2,70,218,416
Prince Edward Island,Cataract Surgery,2013,53.3,98,241,539
Prince Edward Island,Cataract Surgery,2014,46.1,118,190,532
Prince Edward Island,Cataract Surgery,2015,81.6,57,183,554
Prince Edward Island,Cataract Surgery,2016,88.5,71,118,486
Prince Edward Island,Cataract Surgery,2017,60,99,167,577
Prince Edward Island,Cataract Surgery,2018,47.9,118,302,603
Prince Edward Island,Cataract Surgery,2019,28,167,356,753
Prince Edward Island,Cataract Surgery,2020,15.8,230,467,628
Prince Edward Island,Cataract Surgery,2021,30.5,162,324,725
Prince Edward Island,Hip Fracture Repair,2010,74,26,71,62
Prince Edward Island,Hip Fracture Repair,2011,81,23,58,32
Prince Edward Island,Hip Fracture Repair,2012,73,21,60,30
Prince Edward Island,Hip Fracture Repair,2013,75,31,75,99
Prince Edward Island,Hip Fracture Repair,2014,63,41,63,24
Prince Edward Island,Hip Fracture Repair,2015,77,24,55,60
Prince Edward Island,Hip Fracture Repair,2016,76,24,65,45
Prince Edward Island,Hip Fracture Repair,2017,85.37,24,52,82
Prince Edward Island,Hip Fracture Repair,2018,83.78,21,69,37
Prince Edward Island,Hip Fracture Repair,2019,93.94,16,44,66
Prince Edward Island,Hip Fracture Repair,2020,97.22,12,26,72
Prince Edward Island,Hip Fracture Repair,2021,95,17,41,60
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2013,80,23,64,81
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2014,77,28,60,86
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2015,74,31,62,54
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2016,84,25,52,64
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2017,86.5,22,51,74
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2018,86,25,50,57
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2019,94,16,42,71
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2020,96.9,10,29,65
Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,2021,93.5,18,45,62
Prince Edward Island,Hip Replacement,2008,71,110,356,59
Prince Edward Island,Hip Replacement,2009,84,105,197,56
Prince Edward Island,Hip Replacement,2010,90,62,205,41
Prince Edward Island,Hip Replacement,2011,71,112,276,70
Prince Edward Island,Hip Replacement,2012,52,173,313,84
Prince Edward Island,Hip Replacement,2013,80,121,252,78
Prince Edward Island,Hip Replacement,2014,81,56,228,101
Prince Edward Island,Hip Replacement,2015,85,92,245,83
Prince Edward Island,Hip Replacement,2016,67,133,281,86
Prince Edward Island,Hip Replacement,2017,50,182,258,76
Prince Edward Island,Hip Replacement,2018,48.6,190,305,109
Prince Edward Island,Hip Replacement,2019,66,138,333,106
Prince Edward Island,Hip Replacement,2020,56.3,156,463,119
Prince Edward Island,Hip Replacement,2021,56.3,162,348,142
Prince Edward Island,Knee Replacement,2008,75,108,345,105
Prince Edward Island,Knee Replacement,2009,69,137,309,111
Prince Edward Island,Knee Replacement,2010,73,127,316,99
Prince Edward Island,Knee Replacement,2011,55,171,297,112
Prince Edward Island,Knee Replacement,2012,35,225,362,147
Prince Edward Island,Knee Replacement,2013,61,148,324,173
Prince Edward Island,Knee Replacement,2014,70,126,300,153
Prince Edward Island,Knee Replacement,2015,83,112,229,139
Prince Edward Island,Knee Replacement,2016,67,146,251,145
Prince Edward Island,Knee Replacement,2017,46.2,195,312,145
Prince Edward Island,Knee Replacement,2018,26.1,242,368,176
Prince Edward Island,Knee Replacement,2019,28.4,246,341,176
Prince Edward Island,Knee Replacement,2020,32.4,315,503,185
Prince Edward Island,Knee Replacement,2021,46.2,204,413,279
Prince Edward Island,Radiation Therapy,2008,100,7,19,198
Prince Edward Island,Radiation Therapy,2009,95,9,23,199
Prince Edward Island,Radiation Therapy,2010,97,14,23,215
Prince Edward Island,Radiation Therapy,2011,96,13,23,228
Prince Edward Island,Radiation Therapy,2012,99,12,22,186
Prince Edward Island,Radiation Therapy,2013,92,15,28,216
Prince Edward Island,Radiation Therapy,2014,90,14,28,247
Prince Edward Island,Radiation Therapy,2015,98,12,24,224
Prince Edward Island,Radiation Therapy,2016,95,12,25,245
Prince Edward Island,Radiation Therapy,2017,92,13,28,275
Prince Edward Island,Radiation Therapy,2018,100,8,19,220
Prince Edward Island,Radiation Therapy,2019,99.2,10,21,265
Prince Edward Island,Radiation Therapy,2020,98.3,12,20,240
Prince Edward Island,Radiation Therapy,2021,99.2,12,20,243
Quebec,Cataract Surgery,2008,82,42,155,33263
Quebec,Cataract Surgery,2009,87,37,130,37720
Quebec,Cataract Surgery,2010,87,36,126,38786
Quebec,Cataract Surgery,2011,88,34,122,41137
Quebec,Cataract Surgery,2012,88,35,123,45731
Quebec,Cataract Surgery,2013,88,31,126,48965
Quebec,Cataract Surgery,2014,88,32,129,46829
Quebec,Cataract Surgery,2015,88,35,126,45079
Quebec,Cataract Surgery,2016,86,55,130,45716
Quebec,Cataract Surgery,2017,85,41,139,45660
Quebec,Cataract Surgery,2018,82.9,41,151,46767
Quebec,Cataract Surgery,2019,82.3,42,145,47769
Quebec,Cataract Surgery,2020,53.5,99,248,20890
Quebec,Cataract Surgery,2021,68.3,65,231,38955
Quebec,Hip Replacement,2008,90,69,182,1857
Quebec,Hip Replacement,2009,90,66,183,2185
Quebec,Hip Replacement,2010,88,72,203,1989
Quebec,Hip Replacement,2011,82,86,233,2408
Quebec,Hip Replacement,2012,79,84,244,2873
Quebec,Hip Replacement,2013,81,85,239,3021
Quebec,Hip Replacement,2014,84,83,229,3093
Quebec,Hip Replacement,2015,85,82,218,3264
Quebec,Hip Replacement,2016,85,83,214,3381
Quebec,Hip Replacement,2017,83.1,93,215,3373
Quebec,Hip Replacement,2018,80,97,238,3756
Quebec,Hip Replacement,2019,75.9,105,249,3756
Quebec,Hip Replacement,2020,55.7,163,342,2193
Quebec,Hip Replacement,2021,51.9,176,440,3495
Quebec,Knee Replacement,2008,86,85,211,2605
Quebec,Knee Replacement,2009,85,85,214,3018
Quebec,Knee Replacement,2010,83,96,225,3518
Quebec,Knee Replacement,2011,78,99,246,3792
Quebec,Knee Replacement,2012,76,102,253,4644
Quebec,Knee Replacement,2013,78,96,258,4766
Quebec,Knee Replacement,2014,81,88,237,4852
Quebec,Knee Replacement,2015,80,94,247,5081
Quebec,Knee Replacement,2016,80,97,243,5329
Quebec,Knee Replacement,2017,79.6,101,228,5200
Quebec,Knee Replacement,2018,76.6,116,244,5380
Quebec,Knee Replacement,2019,72.2,118,269,5297
Quebec,Knee Replacement,2020,43.4,202,354,2408
Quebec,Knee Replacement,2021,44.3,206,491,4232
Saskatchewan,CABG,2008,98,4,69,309
Saskatchewan,CABG,2009,97,5,90,329
Saskatchewan,CABG,2010,100,4,25,312
Saskatchewan,CABG,2011,100,3,27,255
Saskatchewan,Cataract Surgery,2008,48,118,334,3423
Saskatchewan,Cataract Surgery,2009,59,95,350,3249
Saskatchewan,Cataract Surgery,2010,62,81,252,3196
Saskatchewan,Cataract Surgery,2011,58,90,242,3020
Saskatchewan,Cataract Surgery,2012,57,96,229,3109
Saskatchewan,Cataract Surgery,2013,70,67,179,3573
Saskatchewan,Cataract Surgery,2014,88,40,119,3850
Saskatchewan,Cataract Surgery,2015,96,35,92,3567
Saskatchewan,Cataract Surgery,2016,79,60,142,3509
Saskatchewan,Cataract Surgery,2017,76.84,59,175,3783
Saskatchewan,Cataract Surgery,2018,61.82,81,203,3981
Saskatchewan,Cataract Surgery,2019,60.6,85,235,4091
Saskatchewan,Cataract Surgery,2020,40.24,142,314,2624
Saskatchewan,Cataract Surgery,2021,63.49,84,251,4155
Saskatchewan,Hip Fracture Repair,2009,75,26,84,365
Saskatchewan,Hip Fracture Repair,2010,72,33,88,507
Saskatchewan,Hip Fracture Repair,2011,84,22,67,438
Saskatchewan,Hip Fracture Repair,2012,79,24,74,337
Saskatchewan,Hip Fracture Repair,2013,82,24,67,424
Saskatchewan,Hip Fracture Repair,2014,79,24,68,345
Saskatchewan,Hip Fracture Repair,2015,80,25,65,532
Saskatchewan,Hip Fracture Repair,2016,79,30,80,481
Saskatchewan,Hip Fracture Repair,2017,81.9,27,60,442
Saskatchewan,Hip Fracture Repair,2018,78.5,33,65,507
Saskatchewan,Hip Fracture Repair,2019,83.49,27,62,527
Saskatchewan,Hip Fracture Repair,2020,85.63,27,61,515
Saskatchewan,Hip Fracture Repair,2021,82.53,28,64,521
Saskatchewan,Hip Replacement,2008,56,157,482,497
Saskatchewan,Hip Replacement,2009,64,131,403,570
Saskatchewan,Hip Replacement,2010,69,110,401,517
Saskatchewan,Hip Replacement,2011,75,102,324,556
Saskatchewan,Hip Replacement,2012,69,120,366,589
Saskatchewan,Hip Replacement,2013,77,99,243,782
Saskatchewan,Hip Replacement,2014,93,63,158,738
Saskatchewan,Hip Replacement,2015,100,53,128,794
Saskatchewan,Hip Replacement,2016,80,84,225,708
Saskatchewan,Hip Replacement,2017,75.59,98,280,762
Saskatchewan,Hip Replacement,2018,66.13,117,322,800
Saskatchewan,Hip Replacement,2019,47.37,194,381,874
Saskatchewan,Hip Replacement,2020,40.48,236,482,462
Saskatchewan,Hip Replacement,2021,42.65,234,639,687
Saskatchewan,Knee Replacement,2008,37,246,613,818
Saskatchewan,Knee Replacement,2009,48,194,463,1086
Saskatchewan,Knee Replacement,2010,61,135,428,838
Saskatchewan,Knee Replacement,2011,62,139,357,973
Saskatchewan,Knee Replacement,2012,55,165,420,1061
Saskatchewan,Knee Replacement,2013,66,128,354,1501
Saskatchewan,Knee Replacement,2014,89,70,193,1417
Saskatchewan,Knee Replacement,2015,99,62,130,1202
Saskatchewan,Knee Replacement,2016,73,109,240,1139
Saskatchewan,Knee Replacement,2017,60.98,142,310,1289
Saskatchewan,Knee Replacement,2018,55.95,168,355,1310
Saskatchewan,Knee Replacement,2019,38.81,255,410,1358
Saskatchewan,Knee Replacement,2020,28.3,302,514,643
Saskatchewan,Knee Replacement,2021,30.23,416,695,913
Saskatchewan,Radiation Therapy,2008,81,14,36,781
Saskatchewan,Radiation Therapy,2009,97,8,22,832
Saskatchewan,Radiation Therapy,2010,97,6,20,891
Saskatchewan,Radiation Therapy,2011,99,6,17,998
Saskatchewan,Radiation Therapy,2012,98,4,15,992
Saskatchewan,Radiation Therapy,2013,98,5,15,1029
Saskatchewan,Radiation Therapy,2014,97,7,16,1081
Saskatchewan,Radiation Therapy,2015,97,8,20,1001
Saskatchewan,Radiation Therapy,2016,97,7,18,1105
Saskatchewan,Radiation Therapy,2017,97,7,15,1031
Saskatchewan,Radiation Therapy,2018,97,7,18,1052
Saskatchewan,Radiation Therapy,2019,97,8,20,1079
Saskatchewan,Radiation Therapy,2020,97,7,21,1173
Saskatchewan,Radiation Therapy,2021,98,7,19,1202
