Reporting level,Province/territory,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
National,Canada,n/a,Hip Replacement,50th percentile,2020,Days,165.1622224
National,Canada,n/a,Hip Replacement,90th percentile,2020,Days,354.8456558
National,Canada,n/a,Hip Replacement,Volume,2020,Number of cases,13823
National,Canada,n/a,Knee Replacement,% meeting benchmark,2020,Proportion,47.07177686
National,Canada,n/a,Knee Replacement,50th percentile,2020,Days,197.3141089
National,Canada,n/a,Knee Replacement,90th percentile,2020,Days,404.833744
National,Canada,n/a,Knee Replacement,Volume,2020,Number of cases,19073
National,Canada,n/a,Radiation Therapy,% meeting benchmark,2020,Proportion,97.61325967
National,Canada,n/a,Radiation Therapy,50th percentile,2020,Days,9.723659587
National,Canada,n/a,Radiation Therapy,90th percentile,2020,Days,20.07595426
National,Canada,n/a,Radiation Therapy,Volume,2020,Number of cases,45250
National,Canada,n/a,Hip Fracture Repair,% meeting benchmark,2020,Proportion,85.56683147
National,Canada,n/a,Hip Fracture Repair,50th percentile,2020,Hours,22.85
National,Canada,n/a,Hip Fracture Repair,90th percentile,2020,Hours,57.85
National,Canada,n/a,Hip Fracture Repair,Volume,2020,Number of cases,11529
National,Canada,n/a,Cataract Surgery,% meeting benchmark,2020,Proportion,44.91138089
National,Canada,n/a,Cataract Surgery,50th percentile,2020,Days,133.3153682
National,Canada,n/a,Cataract Surgery,90th percentile,2020,Days,309.5233615
National,Canada,n/a,Cataract Surgery,Volume,2020,Number of cases,96706
National,Canada,n/a,CABG,50th percentile,2020,Days,4.914845024
National,Canada,n/a,CABG,90th percentile,2020,Days,69.20575041
National,Canada,n/a,CABG,Volume,2020,Number of cases,7617
National,Canada,n/a,Breast Cancer Surgery,50th percentile,2020,Days,15.92829426
National,Canada,n/a,Breast Cancer Surgery,90th percentile,2020,Days,38.76968472
National,Canada,n/a,Breast Cancer Surgery,Volume,2020,Number of cases,12370
National,Canada,n/a,Bladder Cancer Surgery,50th percentile,2020,Days,21.21794644
National,Canada,n/a,Bladder Cancer Surgery,90th percentile,2020,Days,69.65301183
National,Canada,n/a,Bladder Cancer Surgery,Volume,2020,Number of cases,11239
National,Canada,n/a,Colorectal Cancer Surgery,50th percentile,2020,Days,17.26256352
National,Canada,n/a,Colorectal Cancer Surgery,90th percentile,2020,Days,44.32591756
National,Canada,n/a,Colorectal Cancer Surgery,Volume,2020,Number of cases,5313
National,Canada,n/a,Lung Cancer Surgery,50th percentile,2020,Days,20.70747001
National,Canada,n/a,Lung Cancer Surgery,90th percentile,2020,Days,56.16930207
National,Canada,n/a,Lung Cancer Surgery,Volume,2020,Number of cases,3668
National,Canada,n/a,Prostate Cancer Surgery,50th percentile,2020,Days,41.31223211
National,Canada,n/a,Prostate Cancer Surgery,90th percentile,2020,Days,122.8125288
National,Canada,n/a,Prostate Cancer Surgery,Volume,2020,Number of cases,3033
National,Canada,n/a,Hip Replacement,% meeting benchmark,2021,Proportion,65.21354167
National,Canada,n/a,Hip Replacement,50th percentile,2021,Days,133.9748021
National,Canada,n/a,Hip Replacement,90th percentile,2021,Days,368.95775
National,Canada,n/a,Hip Replacement,Volume,2021,Number of cases,19200
National,Canada,n/a,Knee Replacement,% meeting benchmark,2021,Proportion,59.19732441
National,Canada,n/a,Knee Replacement,50th percentile,2021,Days,158.8384277
National,Canada,n/a,Knee Replacement,90th percentile,2021,Days,425.2939987
National,Canada,n/a,Knee Replacement,Volume,2021,Number of cases,26611
National,Canada,n/a,Radiation Therapy,% meeting benchmark,2021,Proportion,96.65570632
National,Canada,n/a,Radiation Therapy,50th percentile,2021,Days,10.72514241
National,Canada,n/a,Radiation Therapy,90th percentile,2021,Days,21.23884722
National,Canada,n/a,Radiation Therapy,Volume,2021,Number of cases,48052
National,Canada,n/a,Hip Fracture Repair,% meeting benchmark,2021,Proportion,84.64677378
National,Canada,n/a,Hip Fracture Repair,50th percentile,2021,Hours,23.9
National,Canada,n/a,Hip Fracture Repair,90th percentile,2021,Hours,58.33333333
National,Canada,n/a,Hip Fracture Repair,Volume,2021,Number of cases,11763
National,Canada,n/a,Cataract Surgery,% meeting benchmark,2021,Proportion,66.18174948
National,Canada,n/a,Cataract Surgery,50th percentile,2021,Days,71.74323665
National,Canada,n/a,Cataract Surgery,90th percentile,2021,Days,255.3583278
National,Canada,n/a,Cataract Surgery,Volume,2021,Number of cases,164083
National,Canada,n/a,CABG,50th percentile,2021,Days,6.447762224
National,Canada,n/a,CABG,90th percentile,2021,Days,73.16909875
National,Canada,n/a,CABG,Volume,2021,Number of cases,7939
Provincial,Newfoundland and Labrador,n/a,MRI Scan,Volume,2021,Number of cases,10542
Provincial,Newfoundland and Labrador,n/a,CT Scan,Volume,2021,Number of cases,47553
National,Canada,n/a,Breast Cancer Surgery,50th percentile,2021,Days,18.31047751
National,Canada,n/a,Breast Cancer Surgery,90th percentile,2021,Days,38.23825144
National,Canada,n/a,Breast Cancer Surgery,Volume,2021,Number of cases,15853
National,Canada,n/a,Bladder Cancer Surgery,50th percentile,2021,Days,24.25935808
National,Canada,n/a,Bladder Cancer Surgery,90th percentile,2021,Days,59.71325434
National,Canada,n/a,Bladder Cancer Surgery,Volume,2021,Number of cases,12743
National,Canada,n/a,Colorectal Cancer Surgery,50th percentile,2021,Days,19.34373011
National,Canada,n/a,Colorectal Cancer Surgery,90th percentile,2021,Days,41.95486951
National,Canada,n/a,Colorectal Cancer Surgery,Volume,2021,Number of cases,6284
National,Canada,n/a,Lung Cancer Surgery,50th percentile,2021,Days,22.56953291
National,Canada,n/a,Lung Cancer Surgery,90th percentile,2021,Days,50.29363057
National,Canada,n/a,Lung Cancer Surgery,Volume,2021,Number of cases,3768
National,Canada,n/a,Prostate Cancer Surgery,50th percentile,2021,Days,43.11420983
National,Canada,n/a,Prostate Cancer Surgery,90th percentile,2021,Days,99.22556441
National,Canada,n/a,Prostate Cancer Surgery,Volume,2021,Number of cases,3012
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2008,Proportion,64
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2008,Days,139
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2008,Days,362
Provincial,Manitoba,n/a,Hip Replacement,Volume,2008,Number of cases,646
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2008,Proportion,52
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2008,Days,174
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2008,Days,479
Provincial,Manitoba,n/a,Knee Replacement,Volume,2008,Number of cases,1052
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2008,Proportion,99
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2008,Days,5
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2008,Days,23
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2008,Number of cases,1507
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2008,Proportion,77
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2008,Days,75
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2008,Days,151
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2008,Number of cases,4215
Provincial,Manitoba,n/a,MRI Scan,Volume,2008,Number of cases,23392
Provincial,Manitoba,n/a,CABG,% meeting benchmark,2008,Proportion,96
Provincial,Manitoba,n/a,CABG,50th percentile,2008,Days,17
Provincial,Manitoba,n/a,CABG,90th percentile,2008,Days,119
Provincial,Manitoba,n/a,CABG,Volume,2008,Number of cases,428
Provincial,Manitoba,n/a,CABG,% meeting benchmark,2009,Proportion,100
Provincial,Manitoba,n/a,CABG,50th percentile,2009,Days,13
Provincial,Manitoba,n/a,CABG,90th percentile,2009,Days,107
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2009,Proportion,63
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2009,Days,124
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2009,Days,335
Provincial,Manitoba,n/a,Hip Replacement,Volume,2009,Number of cases,564
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2009,Proportion,56
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2009,Days,160
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2009,Days,470
Provincial,Manitoba,n/a,Knee Replacement,Volume,2009,Number of cases,878
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2009,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2009,Days,6
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2009,Days,25
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2009,Number of cases,1418
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2009,Proportion,78
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2009,Hours,26
Provincial,Manitoba,n/a,Hip Fracture Repair,90th percentile,2009,Hours,76
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2009,Number of cases,573
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2009,Proportion,80
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2009,Days,82
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2009,Days,161
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2009,Number of cases,4320
Provincial,Manitoba,n/a,CABG,Volume,2009,Number of cases,407
Provincial,Manitoba,n/a,MRI Scan,Volume,2009,Number of cases,25148
Provincial,Manitoba,n/a,CABG,% meeting benchmark,2010,Proportion,99
Provincial,Manitoba,n/a,CABG,50th percentile,2010,Days,14
Provincial,Manitoba,n/a,CABG,90th percentile,2010,Days,82
Provincial,Manitoba,n/a,CABG,Volume,2010,Number of cases,386
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2010,Proportion,61
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2010,Days,141
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2010,Days,365
Provincial,Manitoba,n/a,Hip Replacement,Volume,2010,Number of cases,730
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2010,Proportion,53
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2010,Days,172
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2010,Days,420
Provincial,Manitoba,n/a,Knee Replacement,Volume,2010,Number of cases,976
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2010,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2010,Days,6
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2010,Days,24
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2010,Number of cases,1293
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2010,Proportion,82
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2010,Hours,22
Provincial,Manitoba,n/a,Hip Fracture Repair,90th percentile,2010,Hours,70
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2010,Number of cases,538
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2010,Proportion,70
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2010,Days,82
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2010,Days,179
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2010,Number of cases,4296
Provincial,Manitoba,n/a,MRI Scan,Volume,2010,Number of cases,28504
Provincial,Manitoba,n/a,CABG,% meeting benchmark,2011,Proportion,97
Provincial,Manitoba,n/a,CABG,50th percentile,2011,Days,15
Provincial,Manitoba,n/a,CABG,90th percentile,2011,Days,110
Provincial,Manitoba,n/a,CABG,Volume,2011,Number of cases,357
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2011,Proportion,59
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2011,Days,146
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2011,Days,382
Provincial,Manitoba,n/a,Hip Replacement,Volume,2011,Number of cases,662
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2011,Proportion,52
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2011,Days,176
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2011,Days,420
Provincial,Manitoba,n/a,Knee Replacement,Volume,2011,Number of cases,1049
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2011,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2011,Days,6
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2011,Days,23
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2011,Number of cases,1385
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2011,Proportion,85
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2011,Hours,22
Provincial,Manitoba,n/a,Hip Fracture Repair,90th percentile,2011,Hours,57
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2011,Number of cases,612
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2011,Proportion,71
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2011,Days,76
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2011,Days,169
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2011,Number of cases,4519
Provincial,Manitoba,n/a,MRI Scan,50th percentile,2011,Days,55
Provincial,Manitoba,n/a,MRI Scan,90th percentile,2011,Days,119
Provincial,Manitoba,n/a,MRI Scan,Volume,2011,Number of cases,20652
Provincial,Manitoba,n/a,CT Scan,50th percentile,2011,Days,16
Provincial,Manitoba,n/a,CT Scan,90th percentile,2011,Days,35
Provincial,Manitoba,n/a,CT Scan,Volume,2011,Number of cases,21118
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2012,Proportion,56
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2012,Days,160
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2012,Days,346
Provincial,Manitoba,n/a,Hip Replacement,Volume,2012,Number of cases,665
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2012,Proportion,46
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2012,Days,198
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2012,Days,397
Provincial,Manitoba,n/a,Knee Replacement,Volume,2012,Number of cases,1015
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2012,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2012,Days,6
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2012,Days,22
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2012,Number of cases,1550
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2012,Proportion,86
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2012,Hours,20
Provincial,Manitoba,n/a,Hip Fracture Repair,90th percentile,2012,Hours,63
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2012,Number of cases,585
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2012,Proportion,61
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2012,Days,87
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2012,Days,257
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2012,Number of cases,4541
Provincial,Manitoba,n/a,CABG,50th percentile,2012,Days,12
Provincial,Manitoba,n/a,CABG,90th percentile,2012,Days,67
Provincial,Manitoba,n/a,CABG,Volume,2012,Number of cases,232
Provincial,Manitoba,n/a,MRI Scan,50th percentile,2012,Days,43
Provincial,Manitoba,n/a,MRI Scan,90th percentile,2012,Days,99
Provincial,Manitoba,n/a,MRI Scan,Volume,2012,Number of cases,23036
Provincial,Manitoba,n/a,CT Scan,50th percentile,2012,Days,16
Provincial,Manitoba,n/a,CT Scan,90th percentile,2012,Days,41
Provincial,Manitoba,n/a,CT Scan,Volume,2012,Number of cases,26202
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2013,Proportion,68
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2013,Days,119
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2013,Days,299
Provincial,Manitoba,n/a,Hip Replacement,Volume,2013,Number of cases,628
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2013,Proportion,58
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2013,Days,157
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2013,Days,344
Provincial,Manitoba,n/a,Knee Replacement,Volume,2013,Number of cases,1127
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2013,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2013,Days,7
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2013,Days,22
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2013,Number of cases,1563
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2013,Proportion,89
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2013,Hours,20
Provincial,Manitoba,n/a,Hip Fracture Repair,90th percentile,2013,Hours,50
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2013,Number of cases,557
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2013,Proportion,62
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2013,Days,86
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2013,Days,247
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2013,Number of cases,4975
Provincial,Manitoba,n/a,CABG,50th percentile,2013,Days,11
Provincial,Manitoba,n/a,CABG,90th percentile,2013,Days,94
Provincial,Manitoba,n/a,CABG,Volume,2013,Number of cases,213
Provincial,Manitoba,n/a,MRI Scan,50th percentile,2013,Days,70
Provincial,Manitoba,n/a,MRI Scan,90th percentile,2013,Days,127
Provincial,Manitoba,n/a,MRI Scan,Volume,2013,Number of cases,23848
Provincial,Manitoba,n/a,CT Scan,50th percentile,2013,Days,18
Provincial,Manitoba,n/a,CT Scan,90th percentile,2013,Days,47
Provincial,Manitoba,n/a,CT Scan,Volume,2013,Number of cases,33268
Provincial,Manitoba,n/a,Breast Cancer Surgery,50th percentile,2013,Days,27
Provincial,Manitoba,n/a,Breast Cancer Surgery,90th percentile,2013,Days,49
Provincial,Manitoba,n/a,Breast Cancer Surgery,Volume,2013,Number of cases,278
Provincial,Manitoba,n/a,Lung Cancer Surgery,50th percentile,2013,Days,19
Provincial,Manitoba,n/a,Lung Cancer Surgery,90th percentile,2013,Days,42
Provincial,Manitoba,n/a,Lung Cancer Surgery,Volume,2013,Number of cases,207
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2014,Proportion,71
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2014,Days,104
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2014,Days,248
Provincial,Manitoba,n/a,Hip Replacement,Volume,2014,Number of cases,660
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2014,Proportion,71
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2014,Days,112
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2014,Days,274
Provincial,Manitoba,n/a,Knee Replacement,Volume,2014,Number of cases,1058
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2014,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2014,Days,7
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2014,Days,21
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2014,Number of cases,1564
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2014,Proportion,91
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2014,Hours,20
Provincial,Manitoba,n/a,Hip Fracture Repair,90th percentile,2014,Hours,47
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2014,Number of cases,487
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2014,Proportion,63
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2014,Days,78
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2014,Days,205
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2014,Number of cases,4292
Provincial,Manitoba,n/a,CABG,50th percentile,2014,Days,12
Provincial,Manitoba,n/a,CABG,90th percentile,2014,Days,121
Provincial,Manitoba,n/a,CABG,Volume,2014,Number of cases,203
Provincial,Manitoba,n/a,MRI Scan,50th percentile,2014,Days,82
Provincial,Manitoba,n/a,MRI Scan,90th percentile,2014,Days,167
Provincial,Manitoba,n/a,MRI Scan,Volume,2014,Number of cases,26505
Provincial,Manitoba,n/a,CT Scan,50th percentile,2014,Days,16
Provincial,Manitoba,n/a,CT Scan,90th percentile,2014,Days,40
Provincial,Manitoba,n/a,CT Scan,Volume,2014,Number of cases,35046
Provincial,Manitoba,n/a,Breast Cancer Surgery,50th percentile,2014,Days,22
Provincial,Manitoba,n/a,Breast Cancer Surgery,90th percentile,2014,Days,43
Provincial,Manitoba,n/a,Breast Cancer Surgery,Volume,2014,Number of cases,252
Provincial,Manitoba,n/a,Lung Cancer Surgery,50th percentile,2014,Days,20
Provincial,Manitoba,n/a,Lung Cancer Surgery,90th percentile,2014,Days,35
Provincial,Manitoba,n/a,Lung Cancer Surgery,Volume,2014,Number of cases,147
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2015,Proportion,69
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2015,Days,118
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2015,Days,339
Provincial,Manitoba,n/a,Hip Replacement,Volume,2015,Number of cases,633
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2015,Proportion,64
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2015,Days,138
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2015,Days,363
Provincial,Manitoba,n/a,Knee Replacement,Volume,2015,Number of cases,1000
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2015,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2015,Days,7
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2015,Days,22
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2015,Number of cases,1607
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2015,Proportion,92
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2015,Hours,19
Provincial,Manitoba,n/a,Hip Fracture Repair,90th percentile,2015,Hours,46
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2015,Number of cases,543
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2015,Proportion,41
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2015,Days,122
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2015,Days,239
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2015,Number of cases,3173
Provincial,Manitoba,n/a,CABG,50th percentile,2015,Days,9
Provincial,Manitoba,n/a,CABG,90th percentile,2015,Days,40
Provincial,Manitoba,n/a,CABG,Volume,2015,Number of cases,217
Provincial,Manitoba,n/a,MRI Scan,50th percentile,2015,Days,99
Provincial,Manitoba,n/a,MRI Scan,90th percentile,2015,Days,189
Provincial,Manitoba,n/a,MRI Scan,Volume,2015,Number of cases,21277
Provincial,Manitoba,n/a,CT Scan,50th percentile,2015,Days,18
Provincial,Manitoba,n/a,CT Scan,90th percentile,2015,Days,28
Provincial,Manitoba,n/a,CT Scan,Volume,2015,Number of cases,22292
Provincial,Manitoba,n/a,Breast Cancer Surgery,50th percentile,2015,Days,27
Provincial,Manitoba,n/a,Breast Cancer Surgery,90th percentile,2015,Days,46
Provincial,Manitoba,n/a,Breast Cancer Surgery,Volume,2015,Number of cases,253
Provincial,Manitoba,n/a,Lung Cancer Surgery,50th percentile,2015,Days,24
Provincial,Manitoba,n/a,Lung Cancer Surgery,90th percentile,2015,Days,34
Provincial,Manitoba,n/a,Lung Cancer Surgery,Volume,2015,Number of cases,73
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2016,Proportion,66
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2016,Days,136
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2016,Days,348
Provincial,Manitoba,n/a,Hip Replacement,Volume,2016,Number of cases,697
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2016,Proportion,58
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2016,Days,160
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2016,Days,412
Provincial,Manitoba,n/a,Knee Replacement,Volume,2016,Number of cases,1084
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2016,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2016,Days,10
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2016,Days,22
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2016,Number of cases,1503
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2016,Proportion,91
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2016,Hours,19
Provincial,Manitoba,n/a,Hip Fracture Repair,90th percentile,2016,Hours,45
Provincial,Manitoba,n/a,Hip Fracture Repair,Volume,2016,Number of cases,575
Provincial,Manitoba,n/a,Cataract Surgery,% meeting benchmark,2016,Proportion,34
Provincial,Manitoba,n/a,Cataract Surgery,50th percentile,2016,Days,148
Provincial,Manitoba,n/a,Cataract Surgery,90th percentile,2016,Days,289
Provincial,Manitoba,n/a,Cataract Surgery,Volume,2016,Number of cases,2915
Provincial,Manitoba,n/a,CABG,50th percentile,2016,Days,9
Provincial,Manitoba,n/a,CABG,90th percentile,2016,Days,45
Provincial,Manitoba,n/a,CABG,Volume,2016,Number of cases,203
Provincial,Manitoba,n/a,MRI Scan,50th percentile,2016,Days,110
Provincial,Manitoba,n/a,MRI Scan,90th percentile,2016,Days,196
Provincial,Manitoba,n/a,MRI Scan,Volume,2016,Number of cases,26183
Provincial,Manitoba,n/a,CT Scan,50th percentile,2016,Days,21
Provincial,Manitoba,n/a,CT Scan,90th percentile,2016,Days,79
Provincial,Manitoba,n/a,CT Scan,Volume,2016,Number of cases,40439
Provincial,Manitoba,n/a,Breast Cancer Surgery,50th percentile,2016,Days,23
Provincial,Manitoba,n/a,Breast Cancer Surgery,90th percentile,2016,Days,40
Provincial,Manitoba,n/a,Breast Cancer Surgery,Volume,2016,Number of cases,147
Provincial,Manitoba,n/a,Lung Cancer Surgery,50th percentile,2016,Days,25
Provincial,Manitoba,n/a,Lung Cancer Surgery,90th percentile,2016,Days,47
Provincial,Manitoba,n/a,Lung Cancer Surgery,Volume,2016,Number of cases,116
Provincial,Manitoba,n/a,Hip Replacement,% meeting benchmark,2017,Proportion,53
Provincial,Manitoba,n/a,Hip Replacement,50th percentile,2017,Days,169
Provincial,Manitoba,n/a,Hip Replacement,90th percentile,2017,Days,414
Provincial,Manitoba,n/a,Hip Replacement,Volume,2017,Number of cases,710
Provincial,Manitoba,n/a,Knee Replacement,% meeting benchmark,2017,Proportion,43
Provincial,Manitoba,n/a,Knee Replacement,50th percentile,2017,Days,203
Provincial,Manitoba,n/a,Knee Replacement,90th percentile,2017,Days,435
Provincial,Manitoba,n/a,Knee Replacement,Volume,2017,Number of cases,1148
Provincial,Manitoba,n/a,Radiation Therapy,% meeting benchmark,2017,Proportion,100
Provincial,Manitoba,n/a,Radiation Therapy,50th percentile,2017,Days,12
Provincial,Manitoba,n/a,Radiation Therapy,90th percentile,2017,Days,25
Provincial,Manitoba,n/a,Radiation Therapy,Volume,2017,Number of cases,1656
Provincial,Manitoba,n/a,Hip Fracture Repair,% meeting benchmark,2017,Proportion,93.29710145
Provincial,Manitoba,n/a,Hip Fracture Repair,50th percentile,2017,Hours,19.58333333
